"Bug编号","所属产品","所属模块","所属执行","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"2226","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[GEOLocalizedAttribution propertyDescription]: unrecognized selector sent","","1-Low","3","代码错误","","","当前展示的视图控制器:JHCSRotationImageViewController

最后实例化的视图控制器:JHCSRotationImageViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[GEOLocalizedAttribution propertyDescription]: unrecognized selector sent to instance 0x281e981e0

#0 CoreFoundation 000000000180E510FC ()
#1 libobjc.A.dylib 00000000019968CD64 objc_exception_throw()
#2 CoreFoundation 000000000180F2E0C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180DE6524 ()
#4 CoreFoundation 000000000180DE5660 _CF_forwarding_prep_0()
#5 CoreData 00000000018843E8F0 ()
#6 CoreData 000000000188442CA0 ()
#7 CoreData 00000000018843B66C ()
#8 CoreData 00000000018843C3D0 -[NSSQLFetchRequestContext executeRequestCore:]
#9 CoreData 0000000001885031F8 -[NSSQLStoreRequestContext executeRequestUsingConnection:]
#10 CoreData 000000000188462EEC ()
#11 CoreData 000000000188434674 ()
#12 libdispatch.dylib 000000000180AC3670 ()
#13 libdispatch.dylib 000000000180AD28C4 ()
#14 CoreData 0000000001884327B0 ()
#15 CoreData 00000000018843F7A4 -[NSSQLDefaultConnectionManager handleStoreRequest:]
#16 CoreData 0000000001884525C0 ()
#17 CoreData 000000000188448460 ()
#18 CoreData 0000000001884357CC -[NSSQLCore executeRequest:withContext:error:]
#19 CoreData 0000000001885DBC88 ()
#20 CoreData 00000000018843D0C4 ()
#21 CoreData 00000000018846EAC0 -[NSPersistentStoreCoordinator executeRequest:withContext:error:]
#22 CoreData 000000000188433724 -[NSManagedObjectContext executeFetchRequest:error:]
#23 JHUniversalApp 0000000001044B566C -[SMDataCollectionApi mainUploadDataWithServiceType:opeType:otherDict:]
#24 libdispatch.dylib 000000000180AC1924 ()
#25 libdispatch.dylib 000000000180AC3670 ()
#26 libdispatch.dylib 000000000180AD1B70 _dispatch_main_queue_callback_4CF()
#27 CoreFoundation 000000000180E09D84 ()
#28 CoreFoundation 000000000180DC3F5C ()
#29 CoreFoundation 000000000180DD7468 CFRunLoopRunSpecific()
#30 GraphicsServices 00000000019C96338C GSEventRunModal()
#31 UIKitCore 000000000183779088 -[UIApplication _run]
#32 UIKitCore 0000000001834F7958 UIAp



  
","激活","0000-00-00","0","否","","霍曙光","2022-02-28 14:07:34","主干(#trunk)","霍曙光","2022-02-28 15:09:01","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-28 15:09:01","",""
"2101","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID isEqualToString:]: unrecognized selector sent to instance 0x93f3d68b34079f02","","1-Low","3","代码错误","","","当前展示的视图控制器:LayoutEngineViewController

最后实例化的视图控制器:JHCSRotationImageViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID isEqualToString:]: unrecognized selector sent to instance 0x93f3d68b34079f02

#0 CoreFoundation 00000000018C816708 ()
#1 libobjc.A.dylib 0000000001A13207A8 objc_exception_throw()
#2 CoreFoundation 00000000018C719BFC -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 00000000018C819260 ()
#4 CoreFoundation 00000000018C81B560 _CF_forwarding_prep_0()
#5 JHUniversalApp 000000000106B793CC -[WBAidManager request:didFinishLoadingWithResult:]
#6 JHUniversalApp 000000000106B7EBFC -[WBHttpRequest handleResponseData:]
#7 JHUniversalApp 000000000106B7EA24 -[WBHttpRequest URLSession:task:didCompleteWithError:]
#8 CFNetwork 00000000018CFF65C0 +[NSURLSession new]
#9 libdispatch.dylib 00000000018C401A84 ()
#10 libdispatch.dylib 00000000018C40381C ()
#11 libdispatch.dylib 00000000018C411C70 _dispatch_main_queue_callback_4CF()
#12 CoreFoundation 00000000018C790340 ()
#13 CoreFoundation 00000000018C78A218 ()
#14 CoreFoundation 00000000018C789308 CFRunLoopRunSpecific()
#15 GraphicsServices 0000000001A3E0C734 GSEventRunModal()
#16 UIKitCore 00000000018F20775C -[UIApplication _run]
#17 UIKitCore 00000000018F20CFCC UIApplicationMain()
#18 JHUniversalApp 00000000010792D574 -[VAUIFooterView .cxx_destruct]
#19 libdyld.dylib 00000000018C445CF8 ()



","激活","0000-00-00","0","否","","余朝阳","2022-02-24 14:31:07","主干(#trunk)","李宽","2022-02-24 14:31:07","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2094","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","Attempted to scroll the table view to an out-of-bounds row (0) when there are only 0 rows in section 0. Table view: ; layer = ; contentOffset: {0, 0}; contentSize: {414, 0}; adjustedContentInset: {0, 0, 44, 0}; dataSource: >","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSRangeException
reason:Attempted to scroll the table view to an out-of-bounds row (0) when there are only 0 rows in section 0. Table view: ; layer = ; contentOffset: {0, 0}; contentSize: {414, 0}; adjustedContentInset: {0, 0, 44, 0}; dataSource: >
#0 CoreFoundation 0000000001A8C8986C ()
#1 libobjc.A.dylib 0000000001BDBF8C50 objc_exception_throw()
#2 CoreFoundation 0000000001A8B824A4 -[NSCache init]
#3 UIKitCore 0000000001AB84B16C -[UITableView _contentOffsetForScrollingToRowAtIndexPath:atScrollPosition:usingPresentationValues:]
#4 UIKitCore 0000000001AB84BE0C -[UITableView _scrollToRowAtIndexPath:atScrollPosition:animated:usingPresentationValues:]
#5 UIKitCore 0000000001AB84BC74 -[UITableView scrollToRowAtIndexPath:atScrollPosition:animated:]
#6 JHUniversalApp 000000000103CFB624 -[TCDeviceLiveListsViewController scrollViewDidEndDecelerating:]
#7 UIKitCore 0000000001ABB1A53C -[UIScrollView _scrollViewDidEndDeceleratingForDelegate]
#8 UIKitCore 0000000001ABB14D94 -[UIScrollView _stopScrollDecelerationNotify:]
#9 UIKitCore 0000000001AB85D5A8 -[UITableView _stopScrollingNotify:pin:]
#10 UIKitCore 0000000001ABB0C028 -[UIScrollView _smoothScrollWithUpdateTime:]
#11 UIKitCore 0000000001ABB0C2B8 -[UIScrollView _smoothScrollDisplayLink:]
#12 QuartzCore 0000000001ABF599E8 ()
#13 QuartzCore 0000000001AC032EAC ()
#14 CoreFoundation 0000000001A8BE0DD0 ()
#15 CoreFoundation 0000000001A8C05FE8 ()
#16 CoreFoundation 0000000001A8C05378 ()
#17 CoreFoundation 0000000001A8BFF08C ()
#18 CoreFoundation 0000000001A8BFE21C CFRunLoopRunSpecific()
#19 GraphicsServices 0000000001C0702784 GSEventRunModal()
#20 UIKitCore 0000000001AB63CFE0 -[UIApplication _run]
#21 UIKitCore 0000000001AB642854 UIApplicationMain()
#22 JHUniversalApp 00000000010676FDE8 -[VAUIFooterView .cxx_destruct]
#23 libdyld.dylib 0000000001A88BE6B0 ()

","激活","0000-00-00","0","否","","余朝阳","2022-02-24 14:13:59","主干(#trunk)","李宽","2022-02-24 14:13:59","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2093","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID _cfMutableCopy]: unrecognized selector sent to instance 0x9f1e0bd8ab9eb10d","","1-Low","3","代码错误","","","当前展示的视图控制器:LayoutEngineViewController

最后实例化的视图控制器:JHCSRotationImageViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID _cfMutableCopy]: unrecognized selector sent to instance 0x9f1e0bd8ab9eb10d

#0 CoreFoundation 000000000181D390FC ()
#1 libobjc.A.dylib 00000000019A573D64 objc_exception_throw()
#2 CoreFoundation 000000000181E160C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000181CCE524 ()
#4 CoreFoundation 000000000181CCD660 _CF_forwarding_prep_0()
#5 CFNetwork 0000000001824F59FC -[NSURLSessionTaskTransactionMetrics _apsRelayAttempted]
#6 CFNetwork 0000000001825172B8 -[__NSCFURLSessionTaskInfo setResumedAndWaitingForEarliestBeginDate:]
#7 CFNetwork 00000000018263FAE0 +[_NSCFSocksProxy handleIncomingConnection:queue:configuration:]
#8 CFNetwork 0000000001824D21B4 -[NSMutableURLRequest addValue:forHTTPHeaderField:]
#9 libdispatch.dylib 0000000001819A9924 ()
#10 libdispatch.dylib 0000000001819AB670 ()
#11 libdispatch.dylib 0000000001819B2DF4 ()
#12 libdispatch.dylib 0000000001819B399C ()
#13 libdispatch.dylib 0000000001819B4C84 ()
#14 libdispatch.dylib 0000000001819BE1B8 ()
#15 libsystem_pthread.dylib 0000000001F270F0F4 _pthread_wqthread()
#16 libsystem_pthread.dylib 0000000001F270EE94 start_wqthread()



","激活","0000-00-00","0","否","","余朝阳","2022-02-24 14:12:28","主干(#trunk)","余朝阳","2022-02-24 15:15:30","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-24 15:15:30","",""
"2090","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","An instance 0x113d85620 of class JHWebview was deallocated while key value observers were still registered with it. Current observation info: (","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:ShowStoreNewMapViewController

2.6.0.012920 name:NSInternalInconsistencyException
reason:An instance 0x113d85620 of class JHWebview was deallocated while key value observers were still registered with it. Current observation info: (
Context: 0x0, Property: 0x1702409f0>
Context: 0x0, Property: 0x170e43960>
Context: 0x0, Property: 0x170e43960>
Context: 0x0, Property: 0x170e43960>
Context: 0x0, Property: 0x170e43960>
Context: 0x0, Property: 0x170e43960>
Context: 0x0, Property: 0x170e43960>
Context: 0x0, Property: 0x170e43960>
)
#0 CoreFoundation 00000000018B3DD1B8 ()
#1 libobjc.A.dylib 000000000189E1455C objc_exception_throw()
#2 CoreFoundation 00000000018B3DD100 -[NSException initWithCoder:]
#3 Foundation 00000000018BE585F4 -[NSKVONotifying_SDWebImageDownloaderConfig dealloc]
#4 libobjc.A.dylib 000000000189E2DFE0 ()
#5 UIKit 000000000191290668 -[UIView dealloc]
#6 libobjc.A.dylib 000000000189E2DFE0 ()
#7 QuartzCore 00000000018E6AF438 ()
#8 QuartzCore 00000000018E6D6A68 ()
#9 QuartzCore 00000000018E6D7488 ()
#10 CoreFoundation 00000000018B38A0C0 ()
#11 CoreFoundation 00000000018B387CF0 ()
#12 CoreFoundation 00000000018B388180 ()
#13 CoreFoundation 00000000018B2B62B8 CFRunLoopRunSpecific()
#14 GraphicsServices 00000000018CD6A198 GSEventRunModal()
#15 UIKit 0000000001912FD7FC -[UIApplication _run]
#16 UIKit 0000000001912F8534 UIApplicationMain()
#17 JHUniversalApp



","激活","0000-00-00","0","否","","余朝阳","2022-02-24 14:10:14","主干(#trunk)","霍曙光","2022-02-24 15:16:42","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-24 15:16:42","",""
"2089","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID isEqualToDictionary:]: unrecognized selector sent to instance 0x8633e84a7ecdcaa1","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID isEqualToDictionary:]: unrecognized selector sent to instance 0x8633e84a7ecdcaa1

#0 CoreFoundation 00000000018EB9186C ()
#1 libobjc.A.dylib 0000000001A3BAAC50 objc_exception_throw()
#2 CoreFoundation 00000000018EA9895C -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 00000000018EB94438 ()
#4 CoreFoundation 00000000018EB96740 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 Foundation 00000000018FE93AA0 ()
#6 Foundation 00000000018FDB225C -[NSConcreteHashTable getItem:]
#7 UIFoundation 000000000197E24BD8 +[NSAttributeDictionary newWithDictionary:]
#8 UIFoundation 000000000197E26DFC -[_NSCachedAttributedString initWithString:attributes:]
#9 UIFoundation 000000000197EB672C -[NSCoreTypesetter _stringDrawingCoreTextEngineWithOriginalString:rect:padding:graphicsContext:forceClipping:attributes:stringDrawingOptions:drawingContext:stringDrawingInterface:]
#10 UIFoundation 000000000197EB1984 ()
#11 UIFoundation 000000000197E1A51C -[NSString drawWithRect:options:attributes:context:]
#12 UIKitCore 0000000001919DD898 -[UILabel _drawTextInRect:baselineCalculationOnly:]
#13 UIKitCore 0000000001919DBA24 -[UILabel drawTextInRect:]
#14 UIKitCore 000000000191A93080 -[UIView drawLayer:inContext:]
#15 QuartzCore 000000000191FB1658 -[CALayer drawInContext:]
#16 QuartzCore 000000000191E774B0 ()
#17 QuartzCore 000000000191FB27D4 ()
#18 QuartzCore 000000000191FB212C -[CALayer _display]
#19 QuartzCore 000000000191FC3420 ()
#20 QuartzCore 000000000191F08640 ()
#21 QuartzCore 000000000191F33B08 ()
#22 QuartzCore 000000000191F34E98 ()
#23 CoreFoundation 00000000018EB0C358 ()
#24 CoreFoundation 00000000018EB065C4 ()
#25 CoreFoundation 00000000018EB06B74 ()
#26 CoreFoundation 00000000018EB0621C CFRunLoopRunSpecific()
#27 GraphicsServices 0000000001A66D0784 GSEventRunModal()
#28 UIKitCore 000000000191546EE8 -[UIApplication _run]
#29 UIKitCore 00000000019154C75C UIApplicationMain()
#30 JHUniversalApp 00000000010506E0E4 -[VAUIFooterView .cxx_destruct]
#31 libdyld.dyl

","激活","0000-00-00","0","否","","余朝阳","2022-02-24 14:08:40","主干(#trunk)","李飞","2022-02-24 15:37:06","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-24 15:37:06","",""
"2087","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID objectAtIndex:]: unrecognized selector sent to instance 0x9f9bc1421197e89b","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID objectAtIndex:]: unrecognized selector sent to instance 0x9f9bc1421197e89b

#0 CoreFoundation 0000000001B6181344 ()
#1 libobjc.A.dylib 0000000001B5E96CC0 objc_exception_throw()
#2 CoreFoundation 0000000001B6080110 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 0000000001B6185B20 ()
#4 CoreFoundation 0000000001B6187E10 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 VectorKit 0000000001C47BBF40 ()
#6 VectorKit 0000000001C4A1EAF4 ()
#7 VectorKit 0000000001C4A1E990 ()
#8 libdispatch.dylib 0000000001B5E22134 ()
#9 libdispatch.dylib 0000000001B5E235AC ()
#10 libdispatch.dylib 0000000001B5E29A64 ()
#11 libdispatch.dylib 0000000001B5E2A4CC ()
#12 libdispatch.dylib 0000000001B5E2B574 ()
#13 libdispatch.dylib 0000000001B5E33A5C ()
#14 libsystem_pthread.dylib 0000000001B5E89718 _pthread_wqthread()
#15 libsystem_pthread.dylib 0000000001B5E8F9C8 start_wqthread()
univer:=>11:46:15.381 -[JHMessageEntity dealloc] 消息体销毁了
univer:=>11:46:15.802 -[JHMessageEntity dealloc] 消息体销毁了



","激活","0000-00-00","0","否","","余朝阳","2022-02-24 14:06:41","主干(#trunk)","邹丽","2022-02-24 15:17:34","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-24 15:17:34","",""
"2083","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","Unable to activate constraint with anchors and because they have no common ancestor. Does the constraint or its anchors reference items in different view hierarchies? That's illegal.","","1-Low","3","代码错误","","","
  当前展示的视图控制器:LayoutEngineViewController
最后实例化的视图控制器:JHCSRotationImageViewController
2.6.0.012920 name:NSGenericException
reason:Unable to activate constraint with anchors &spnb
&spnb


&spnb






&spnb
&spnb
&spnb
&spnb
&spnb
&spnb
&spnb
&spnb




&spnb
>
>


","激活","0000-00-00","0","否","","余朝阳","2022-02-24 13:52:40","主干(#trunk)","李宽","2022-02-24 13:52:40","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2075","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[CDEnLocation count]: unrecognized selector sent to instance 0x283407480","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[CDEnLocation count]: unrecognized selector sent to instance 0x283407480

#0 CoreFoundation 0000000001A560D654 ()
#1 libobjc.A.dylib 0000000001A532FBCC objc_exception_throw()
#2 CoreFoundation 0000000001A5511DD8 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 0000000001A56117F8 ()
#4 CoreFoundation 0000000001A561371C -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CFNetwork 0000000001A8A23444 -[CFNetworkTimer setState:]
#6 CFNetwork 0000000001A892139C _CFStreamErrorFromCFError()
#7 CFNetwork 0000000001A890ABB0 -[BadPasswordProxyAuthenticationURLDelegate setFailureCount:]
#8 CFNetwork 0000000001A88BB21C _CFURLRequestCreateArchiveList()
#9 CFNetwork 0000000001A88C8410 CFCachedURLResponseCopyWrappedRequest()
#10 libdispatch.dylib 0000000001A52D29A8 ()
#11 libdispatch.dylib 0000000001A52D3524 ()
#12 libdispatch.dylib 0000000001A52B0B3C ()
#13 libdispatch.dylib 0000000001A52B154C ()
#14 libdispatch.dylib 0000000001A52BA84C ()
#15 libsystem_pthread.dylib 0000000001A5324B74 _pthread_wqthread()
#16 libsystem_pthread.dylib 0000000001A5327740 start_wqthread()
ResponseCode = ““Success““;
}



","激活","0000-00-00","0","否","","余朝阳","2022-02-24 11:46:10","主干(#trunk)","李飞","2022-02-24 15:37:41","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-24 15:37:41","",""
"2074","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID containsKey:]: unrecognized selector sent to instance","","1-Low","3","代码错误","","","当前展示的视图控制器:LayoutEngineViewController

最后实例化的视图控制器:LayoutEngineViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID containsKey:]: unrecognized selector sent to instance 0x83287a272b934826

#0 CoreFoundation 000000000191142708 ()
#1 libobjc.A.dylib 0000000001A5C4C7A8 objc_exception_throw()
#2 CoreFoundation 000000000191045BFC -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 000000000191145260 ()
#4 CoreFoundation 000000000191147560 _CF_forwarding_prep_0()
#5 CoreFoundation 0000000001910844F0 CFDictionaryContainsKey()
#6 CFNetwork 00000000019193FC0C -[CFNetworkTimer dealloc]
#7 CFNetwork 00000000019182ACC8 _CFStreamErrorFromCFError()
#8 CFNetwork 0000000001917AFF88 CFNetworkExecuteProxyAutoConfigurationScript()
#9 CFNetwork 000000000191983188 -[NSURLConnectionInternalConnection unscheduleFromRunLoop:forMode:]
#10 CFNetwork 000000000191983260 -[NSURLConnectionInternalConnection unscheduleFromRunLoop:forMode:]
#11 CFNetwork 00000000019190EA20 -[__CFNCoreLoggable initWithLoggableName:]
#12 libdispatch.dylib 000000000190D2DA84 ()
#13 libdispatch.dylib 000000000190D2F81C ()
#14 libdispatch.dylib 000000000190D37004 ()
#15 libdispatch.dylib 000000000190D37C34 ()
#16 libdispatch.dylib 000000000190D38EE8 ()
#17 libdispatch.dylib 000000000190D424BC ()
#18 libsystem_pthread.dylib 0000000001DCDB27A4 _pthread_wqthread()
#19 libsystem_pthread.dylib 0000000001DCDB974C start_wqthread()

","激活","0000-00-00","0","否","","李聪","2022-02-24 11:44:34","主干(#trunk)","李聪","2022-02-24 15:24:19","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-24 15:24:19","",""
"2061","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","*** Collection  was mutated while being enumerated.","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSGenericException
reason:*** Collection <__NSArrayM: 0x283e4a790> was mutated while being enumerated.

#0 CoreFoundation 0000000001B59F3180 ()
#1 libobjc.A.dylib 0000000001B4BCB9F8 objc_exception_throw()
#2 CoreFoundation 0000000001B59F2A48 -[__NSSingleObjectEnumerator initWithObject:]
#3 JHUniversalApp 0000000001029694B0 -[NewUploadController upload:andIndex:callBack:]
#4 JHUniversalApp 0000000001029691C0 -[NewUploadController getUploadDataWithRecordingModel:andIndex:callBack:]
#5 libdispatch.dylib 0000000001B5430A38 ()
#6 libdispatch.dylib 0000000001B54317D4 ()
#7 libdispatch.dylib 0000000001B53D5C80 ()
#8 libdispatch.dylib 0000000001B53E2030 ()
#9 libdispatch.dylib 0000000001B53E28D4 ()
#10 libsystem_pthread.dylib 0000000001B56121B4 _pthread_wqthread()
#11 libsystem_pthread.dylib 0000000001B5614CD4 start_wqthread()



","激活","0000-00-00","0","否","","余朝阳","2022-02-24 11:29:53","主干(#trunk)","李宽","2022-02-24 11:29:53","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2055","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID propertyDescription]: unrecognized selector sent to instance","","1-Low","3","代码错误","","","

当前展示的视图控制器:ShowStoreNewMapViewController
最后实例化的视图控制器:JHUIWebViewController
2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID propertyDescription]: unrecognized selector sent to instance 0xb0239948f226e840
#0 CoreFoundation 000000000180CF90FC ()
#1 libobjc.A.dylib 000000000199533D64 objc_exception_throw()
#2 CoreFoundation 000000000180DD60C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180C8E524 ()
#4 CoreFoundation 000000000180C8D660 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CoreData 0000000001882E68F0 ()
#6 CoreData 0000000001882EACA0 ()
#7 CoreData 0000000001882E366C ()
#8 CoreData 0000000001882E43D0 -[NSSQLFetchRequestContext executeRequestCore:]
#9 CoreData 0000000001883AB1F8 -[NSSQLStoreRequestContext executeRequestUsingConnection:]
#10 CoreData 00000000018830AEEC ()
#11 CoreData 0000000001882DC674 ()
#12 libdispatch.dylib 00000000018096B670 ()
#13 libdispatch.dylib 00000000018097A8C4 ()
#14 CoreData 0000000001882DA7B0 ()
#15 CoreData 0000000001882E77A4 -[NSSQLDefaultConnectionManager handleStoreRequest:]
#16 CoreData 0000000001882FA5C0 ()
#17 CoreData 0000000001882F0460 ()
#18 CoreData 0000000001882DD7CC -[NSSQLCore executeRequest:withContext:error:]
#19 CoreData 000000000188483C88 ()
#20 CoreData 0000000001882E50C4 ()
#21 CoreData 000000000188316AC0 -[NSPersistentStoreCoordinator executeRequest:withContext:error:]
#22 CoreData 0000000001882DB724 -[NSManagedObjectContext executeFetchRequest:error:]
#23 JHUniversalApp 00000000010846E068 -[SMDataCollectionApi mainUploadDataWithServiceType:opeType:otherDict:]
#24 libdispatch.dylib 000000000180969924 ()
#25 libdispatch.dylib 00000000018096B670 ()
#26 libdispatch.dylib 000000000180979B70 _dispatch_main_queue_callback_4CF()
#27 CoreFoundation 000000000180CB1D84 ()
#28 CoreFoundation 000000000180C6BF5C ()
#29 CoreFoundation 000000000180C7F468 CFRunLoopRunSpecific()
#30 GraphicsServices 00000000019C80A38C GSEventRunModal()
#31 UIKitCore 000000000183621088 -[UIApplication _run]
#32 UIKitCore 00


 



","激活","0000-00-00","0","否","","李聪","2022-02-24 11:18:10","主干(#trunk)","霍曙光","2022-02-24 15:30:43","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-24 15:30:43","",""
"2247","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[__NSCFString lbsDesc]: unrecognized selector sent to instance 0x282a44230","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[__NSCFString lbsDesc]: unrecognized selector sent to instance 0x282a44230

#0 CoreFoundation 0000000001805DD0FC ()
#1 libobjc.A.dylib 000000000198E2DD64 objc_exception_throw()
#2 CoreFoundation 0000000001806BA0C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180572524 ()
#4 CoreFoundation 000000000180571660 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 JHUniversalApp 00000000010952F8D4 -[SMDataCollectionApi mainUploadDataWithServiceType:opeType:otherDict:]
#6 libdispatch.dylib 00000000018024D924 ()
#7 libdispatch.dylib 00000000018024F670 ()
#8 libdispatch.dylib 00000000018025DB70 _dispatch_main_queue_callback_4CF()
#9 CoreFoundation 000000000180595D84 ()
#10 CoreFoundation 00000000018054FF5C ()
#11 CoreFoundation 000000000180563468 CFRunLoopRunSpecific()
#12 GraphicsServices 00000000019C10738C GSEventRunModal()
#13 UIKitCore 000000000182F065D0 -[UIApplication _run]
#14 UIKitCore 000000000182C84F74 UIApplicationMain()
#15 JHUniversalApp 0000000001087A3DE8 -[VAUIFooterView .cxx_destruct]
#16 dyld 00000000010BC2DAA4 start()



","已解决","0000-00-00","0","是","","余朝阳","2022-02-28 14:27:19","主干(#trunk)","余朝阳","2022-03-01 11:42:36","平康","已解决","主干(#trunk)","2022-03-01 11:41:56","","0000-00-00 00:00:00","0","","","平康","2022-03-01 11:42:36","",""
